Hospital,Hospital type,Control type,Fiscal Year Begin Date,HVBP payment adjustment amount,STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),Total Bad Debt expense,IPPS Payment amount (unadjusted),Fiscal Year End Date,IPPS Interim payment,State,BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),"ADJUSTED SALARIES, Subtotal Salaries",Urban (1) and Rural (2) Indicator,BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),Total Days Title XVIII,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),Cost of Uncompensated Care,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,Total cost of charity care,Medicaid charges,Net Revenue from Medicaid,Total Salaries,REIMBURSEMENT SETTLEMENT: Subtotal,NUMBER OF BEDS: Total Hospital,Total Charges,BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),HAC reduction adjustment amount,NUMBER OF BEDS: Adults & Pediatrics,BED DAYS: Total Hospital,TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),REIMBURSEMENT SETTLEMENT: Interim payments,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),BALANCE SHEET: Inventory (G_C1THRU4_7),Total Costs,Number of Interns & Residents,Cost To Charge Ratio,Total Liabilities,Total discharges,FTE Employees on Payroll,"Donations, Land Improvements",BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),NUMBER OF BEDS: ICU,BALANCE SHEET: Total Assets (G_C1THRU4_36),Total Inpatient Days,Report_Period_Begin_Yr,Beginning FFY,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
CONTINUECARE HOSPITAL AT MEDICAL CEN (452121),General Long Term,Voluntary Nonprofit-Other,2022-02-01 00:00:00,,-152147.0,,,2023-01-31,,TX,102261.0,,1.0,3959828.0,3372.0,,,,,,,5142472.0,,25.0,39556877.0,263364.0,,25.0,9125.0,,15981.0,10534486.0,,2707827.0,122889.0,10588459.0,45.74,,3932674.0,243.0,,,3285872.0,,3926563.0,6977.0,2022,2022,-6111.0,,263364.0,-0.014442754966877358,-156270.0,-0.014834136188514561,0.8240817049477277,1.2389542258493331,0.755561080894204,0.08015041364971003,-643.5401734576992,1.0015563229215985,-0.0015563229215983547,,-6111.0,2.682877111611351,2.660339287464001,non-profit
CONTINUECARE HOSPITAL MADISONVILLE (182009),General Long Term,Voluntary Nonprofit-Other,2022-04-01 00:00:00,,120237.0,,,2023-03-31,,KY,74646.0,,2.0,1515685.0,1853.0,,,,,,,3274504.0,5450.0,35.0,28428391.0,795272.0,,35.0,12775.0,,1742.0,7702740.0,5393.0,1820041.0,22253.0,6592270.0,34.39,,2682759.0,203.0,,,2084083.0,,2496969.0,4549.0,2022,2022,-185790.0,,795272.0,0.015609640205952686,-176701.0,-0.022940018746575894,0.87330542977415,1.166553347443456,0.8268106404591372,0.3815932474858247,-14.43973841433877,1.074406210089112,-0.07440621008911204,,-185790.0,3.084836055233365,5.08201902110267,non-profit
CONTINUED CARE HOSPITAL JONESBORO (042013),General Long Term,Proprietary-Other,2022-07-01 00:00:00,,-1826790.0,,,2023-06-30,,AR,105107.0,,1.0,5915304.0,6201.0,,,,,,,7551880.0,,99.0,69235602.0,375163.0,,99.0,36135.0,,128891.0,17321997.0,,5427357.0,186452.0,19721710.0,113.69,,28978619.0,413.0,,,22594086.0,,25270368.0,11949.0,2022,2022,-3708251.0,,375163.0,-0.1054607040978012,-2753705.0,-0.15897156661555825,0.24021139868193828,0.1975595295158211,0.22730718118006632,0.01660447782663127,-7.814632558583548,1.1467430549487843,-0.14674305494878429,,-3708251.0,0.6854667490398241,2.928335889414982,for-profit
CONTINUING CARE HOSPITAL (182002),General Long Term,Voluntary Nonprofit-Church,2022-07-01 00:00:00,,507480.0,,,2023-06-30,,KY,,,1.0,10062603.0,1826.0,,,,,,,5225940.0,13467.0,23.0,36653820.0,8007793.0,,23.0,8395.0,195.0,101665.0,12849799.0,13192.0,12661920.0,,13403886.0,59.99,,5381126.0,255.0,,,5381126.0,,13671145.0,6490.0,2022,2022,8290019.0,,8007793.0,0.03949322475783473,246670.0,0.019196409220097528,2.3530242555182688,3.4524142344929296,,1.4881259052473403,0.6491090068671737,0.3936119469144684,0.6063880530855316,1786.3333333333333,8290019.0,0.9399211989924765,1.2769855871288969,non-profit
CONTRA COSTA REGIONAL MEDICAL CENTER (050276),General Short Term (Acute Care Hospitals),Governmental-County,2022-07-01 00:00:00,,92188755.0,8337518.0,21147417.0,2023-06-30,20772793.0,CA,6028919.0,279096231.0,1.0,198380189.0,3496.0,,59494286.0,,51928394.0,514169265.0,312583952.0,346760606.0,24181114.0,124.0,668563482.0,174820293.0,,110.0,45260.0,,9298615.0,594955793.0,22738870.0,511423049.0,6737435.0,617354425.0,2504.78,0.923404,323598428.0,6092.0,38.1,,128260507.0,8.0,669169476.0,31685.0,2022,2022,345571048.0,474785955.97806,174820293.0,0.15495059647229958,-173694214.0,-0.2919447394976453,3.9873774161831435,3.6284687148476653,3.887842849397126,1.3630095271648972,0.9364164905388718,0.4835821710433188,0.5164178289566812,,345571048.0,0.8890958334746278,2.999068586430271,govt
CONWAY BEHAVIORAL HEALTH (044022),Psychiatric,Proprietary-Corporation,2022-01-01 00:00:00,,4465764.0,,,2022-12-31,,AR,55009.0,,1.0,1655298.0,1732.0,,,,,,,7948255.0,27551.0,80.0,50468106.0,-13438.0,,80.0,29200.0,,827083.0,19902506.0,27130.0,1592222.0,,12976264.0,124.12,,12228597.0,2438.0,,,1185885.0,,21299546.0,22423.0,2022,2022,9070949.0,,0.0,0.22438199491059066,4459702.0,0.22407741015126437,1.3426445228668884,5.161598300003795,,0.0,1.348105584101509,0.5741247724247268,0.4258752275752732,,9070949.0,0.9344098695812577,12.023518423872922,for-profit
CONWAY HOSPITAL (420049),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2021-10-01 00:00:00,,-45978082.0,37860594.0,27591202.0,2022-09-30,23051675.0,SC,21781661.0,81002215.0,1.0,188357876.0,10253.0,,15905006.0,,6525528.0,110100852.0,17917513.0,114134301.0,23477958.0,171.0,925632353.0,4113904.0,,147.0,62277.0,,16772121.0,250163770.0,22963008.0,64107343.0,6271545.0,228438919.0,1406.43,0.246792,200258739.0,7220.0,23.07,,49435503.0,24.0,602920505.0,36237.0,2021,2022,402661766.0,27172009.466784,4113904.0,-0.1837919295827689,-36682047.0,-0.14663213222282348,1.2967875132169688,2.9633297753640737,0.729316681575992,0.08321760173048103,0.4973373583227169,0.33214783265664516,0.6678521673433548,,402661766.0,0.41491999015691133,1.3281301282033993,non-profit
CONWAY REGIONAL MEDICAL CENTER  INC (040029),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2022-01-01 00:00:00,,-16509152.0,11335720.0,31308377.0,2022-12-31,28174044.0,AR,6007897.0,61401511.0,1.0,30378315.0,13052.0,2537518.0,3595397.0,,1250953.0,88604106.0,9201075.0,110770885.0,18288219.0,169.0,989766427.0,11730647.0,227614.0,122.0,57603.0,2289687.0,11101913.0,232863447.0,17676739.0,57959067.0,4084739.0,191889052.0,1361.3,0.193873,115278542.0,8264.0,11.85,,40417756.0,47.0,257913461.0,37925.0,2022,2022,142634919.0,17177943.842538,14268165.0,-0.07089627939759906,-33848648.0,-0.14535835673685618,1.4340001211348794,0.6333802895935143,1.1842921462537406,0.29023498979013085,0.8082070141603964,0.4469659767002235,0.5530340232997765,-9.934429902427711,142634919.0,0.902874344352271,7.66544974597834,non-profit
CONWAY REGIONAL REHABILITATION HOSPI (043033),Rehabilitation,Proprietary-Corporation,2022-01-01 00:00:00,,-135668.0,,,2022-12-31,,AR,39014.0,,1.0,935499.0,3009.0,762908.0,,,,,,1778281.0,200.0,26.0,9028343.0,-63319.0,,26.0,9490.0,,-267795.0,6640352.0,108.0,1931671.0,73650.0,6197270.0,28.4,,4599357.0,361.0,,,361466.0,,5989138.0,4374.0,2022,2022,1389781.0,,762908.0,-0.02043084462992323,739992.0,0.11143867072107021,5.343990859444595,4.979923422949876,5.032304559764957,0.0,3.309411338908792,0.7679497450217377,0.23205025497826232,,1389781.0,1.1087325087516768,7.098192515438285,for-profit
COOK CHILDRENS MEDICAL CENTER (453300),Childrens,Voluntary Nonprofit-Other,2021-10-01 00:00:00,,398878285.0,,,2022-09-30,,TX,257329.0,,1.0,415414370.0,548.0,28333844.0,,,,,,371659440.0,1377207.0,423.0,3009660451.0,639483030.0,,264.0,154395.0,11146531.0,77446487.0,1507132574.0,1390543.0,1035320773.0,15091349.0,982571775.0,5410.81,,691687210.0,10851.0,14.41,,203510456.0,159.0,1731104177.0,88478.0,2021,2022,1039416967.0,,667816874.0,0.2646603834866089,249055610.0,0.16525129527191812,5.087309975856965,7.143493821270785,5.0118903718637435,3.1422612998321817,0.6654569166754808,0.3995641736586255,0.6004358263413745,29.29181258276678,1039416967.0,0.8706192232820197,3.6280222419845516,non-profit
COOK COUNTY NORTH SHORE HOSPITAL (241317),General Short Term (Critical Access Hospitals),Governmental-Hospital District,2022-01-01 00:00:00,,-655875.0,95200.0,,2022-12-31,,MN,365142.0,,2.0,1822355.0,334.0,,170592.0,,76769.0,751906.0,368871.0,7224151.0,3330374.0,16.0,21718799.0,8868231.0,,16.0,5840.0,,3471157.0,19517595.0,3280594.0,12224051.0,418445.0,21404696.0,69.96,0.985538,31337369.0,101.0,,,2643822.0,,48395811.0,850.0,2022,2022,17058442.0,741031.935428,8868231.0,-0.033604293971670175,-2244691.0,-0.1150085858426717,4.623628595268516,3.8315404743587127,4.327244421144843,3.354322265265967,1.837059269539387,0.647522344444233,0.352477655555767,,17058442.0,0.4032909997106981,10.710094904670056,govt
COOK HOSPITAL (241312),General Short Term (Critical Access Hospitals),Governmental-Hospital District,2022-01-01 00:00:00,,587379.0,250478.0,,2022-12-31,,MN,277414.0,,2.0,2629025.0,371.0,,190189.0,,24833.0,5334870.0,3630883.0,6619322.0,2221250.0,14.0,23784529.0,10941498.0,,14.0,5110.0,182982.0,1301298.0,15005567.0,2172171.0,13954386.0,246914.0,15701637.0,71.78,0.660162,17222874.0,118.0,,,2466366.0,,32738019.0,704.0,2022,2022,15515145.0,3521878.44894,10941498.0,0.03914407232995594,-1841315.0,-0.12270879201032524,5.65787316237736,5.751135070788358,5.445281843813935,4.436283179382135,1.110068516923303,0.5260817400099865,0.47391825999001347,-2.9512028505536065,15515145.0,0.4583529321062463,5.707654738924126,govt
COOKEVILLE REGIONAL MEDICAL CENTER (440059),General Short Term (Acute Care Hospitals),Governmental-City,2022-07-01 00:00:00,,-1773914.0,23655104.0,56729176.0,2023-06-30,52483386.0,TN,18643479.0,114468554.0,2.0,95534519.0,20837.0,44557938.0,12884664.0,,5768188.0,162740310.0,69033935.0,121761450.0,41180348.0,212.0,1130757299.0,11883339.0,,168.0,77380.0,,14545154.0,372464033.0,41171595.0,298861257.0,11209759.0,334427072.0,1826.93,0.295755,-71464054.0,12330.0,,,-15162870.0,44.0,266341057.0,59156.0,2022,2022,266341057.0,48131260.38405,56441277.0,-0.004762645095452747,7811825.0,0.020973367380146473,inf,inf,inf,inf,0.0,0.0,1.0,,266341057.0,1.3984476790598606,3.8987377222258273,govt
COOLEY DICKINSON HOSPITAL (220015),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2021-10-01 00:00:00,,9135730.0,4407906.0,28825109.0,2022-09-30,25780279.0,MA,,78264472.0,2.0,18249332.0,11343.0,7018088.0,2176337.0,,738104.0,89472817.0,23318608.0,83420976.0,30309658.0,118.0,652589787.0,-6963762.0,,107.0,43070.0,1324709.0,12473034.0,233638611.0,30430625.0,32261534.0,,207360926.0,939.89,0.317751,81672379.0,6363.0,,,36291811.0,11.0,127701870.0,26455.0,2021,2022,46029491.0,28430077.074567,7018088.0,0.039101970179064284,5321529.0,0.022776753282444398,0.8889480329322778,0.7545796488359316,,0.0,1.7743489494593803,0.6395550746437777,0.36044492535622225,13.432809016923716,46029491.0,1.8295629578486203,12.80258428089313,non-profit
COON MEMORIAL HOSPITAL (451331),General Short Term (Critical Access Hospitals),Governmental-Hospital District,2022-08-01 00:00:00,,-3918066.0,1824349.0,,2023-07-31,,TX,527123.0,,2.0,12049946.0,762.0,1084988.0,4286853.0,,2871217.0,,2010669.0,7826739.0,2259554.0,21.0,29956559.0,-2110805.0,,21.0,7665.0,177256.0,1316396.0,12761941.0,1565677.0,11765798.0,235121.0,23259575.0,171.76,0.776443,12125824.0,353.0,,,9079121.0,,19947354.0,2245.0,2022,2022,7821530.0,,1084988.0,-0.3070117625524205,-12876957.0,-1.0090124221699506,1.2959181841502057,1.0181919593317459,1.2119624796277084,0.0,1.5503135575776095,0.6078913524069408,0.3921086475930592,-65.2195750778535,7821530.0,0.6397811459103799,1.0590869867798578,govt
COOPER UNIVERSITY HOSPITAL (310014),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2022-01-01 00:00:00,-325467.0,151488000.0,30396071.0,182405205.0,2022-12-31,168191380.0,NJ,15222000.0,514810262.0,1.0,158531000.0,41963.0,,31442475.0,,25332230.0,1511548431.0,245929405.0,480065998.0,79443850.0,580.0,5787304951.0,620652000.0,1260327.0,479.0,211791.0,,58713792.0,1431807000.0,77990694.0,796653000.0,22350000.0,1108581379.0,5303.04,0.191554,841689000.0,31383.0,378.19,,324319000.0,61.0,1987029000.0,189123.0,2022,2022,1145340000.0,289543148.151774,620652000.0,0.1058019691201398,29291005.0,0.02045736960358484,2.4563870756878257,2.86961602619643,2.3405381738350206,1.9137084167131744,0.7348813452773849,0.4235917039962678,0.5764082960037322,,1145340000.0,0.7205768008418599,9.031716194309,non-profit
COOPERMAN BARNABAS MEDICAL CENTER (310076),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2022-01-01 00:00:00,,-23805159.0,37406831.0,175974562.0,2022-12-31,161328557.0,NJ,8088617.0,294110945.0,1.0,160142475.0,42572.0,,40115245.0,,31461314.0,588075008.0,80767960.0,322798268.0,51222482.0,554.0,4115884799.0,48623.0,,358.0,202210.0,16681556.0,31444576.0,1071713981.0,47599802.0,1352801207.0,15002090.0,926428028.0,3360.31,0.225086,677602265.0,33289.0,172.97,,167720642.0,128.0,1871205920.0,175724.0,2022,2022,1193603655.0,132367451.250688,48623.0,-0.022212231455437177,-46148535.0,-0.04306049544761888,8.065800314549238,0.813173246737274,7.928126700111248,0.00028990468567369307,0.5676945292195842,0.36212062913952303,0.637879370860477,-0.881450087749608,1193603655.0,0.5727397340641163,6.6922531389626645,non-profit
COOPERSTOWN MEDICAL CENTER (351306),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,2022-07-01 00:00:00,,154408.0,15637.0,,2023-06-30,,ND,100669.0,,2.0,2073127.0,573.0,,80088.0,,65186.0,397494.0,242163.0,3360469.0,1124194.0,9.0,6339314.0,2193332.0,,9.0,6408.0,126245.0,259290.0,5320458.0,1014816.0,4153558.0,90954.0,6041525.0,38.15,0.953025,23706194.0,54.0,,,1210423.0,,29644915.0,1036.0,2022,2022,5938721.0,378821.71935,2193332.0,0.0290215616775849,-1716073.0,-0.3225423450387166,3.4314929574206703,4.065972804548492,3.273182185070839,1.8120376099925397,3.991801264952504,0.7996715119608203,0.20032848803917974,-11.53933225078221,5938721.0,0.1794728708110649,2.566392700495435,non-profit
COOSA VALLEY MEDICAL CENTER (010164),General Short Term (Acute Care Hospitals),Governmental-City,2022-08-01 00:00:00,,4938240.0,6686273.0,4634783.0,2023-07-31,3892268.0,AL,,19771981.0,1.0,38265606.0,2183.0,,3717297.0,,2265229.0,49296514.0,7382495.0,29380606.0,8575905.0,122.0,306430001.0,12836232.0,,114.0,44530.0,1839477.0,3217968.0,72950869.0,8596598.0,28447731.0,2131597.0,63673161.0,357.83,0.20779,49558127.0,2871.0,,,7131628.0,8.0,67615766.0,10816.0,2022,2022,18057639.0,10243322.64406,12836232.0,0.06769268231746492,-8516395.0,-0.11674151544377079,3.9889532936939505,7.857964268467172,,1.7999020700462784,2.7444411199049887,0.7329374483459967,0.2670625516540033,-2.880398613301498,18057639.0,1.0789032398154004,1.9064344361879437,govt
COPIAH COUNTY MEDICAL CENTER (251327),General Short Term (Critical Access Hospitals),Governmental-County,2022-01-01 00:00:00,,4279451.0,7105144.0,,2022-12-31,,MS,69032.0,,1.0,17362050.0,2446.0,,2414313.0,,55659.0,9651986.0,4771762.0,8471379.0,774115.0,25.0,62897935.0,5803730.0,,25.0,9125.0,600594.0,607028.0,20301491.0,826253.0,11716337.0,495794.0,20871601.0,157.13,0.331833,14918970.0,411.0,,,2048723.0,,24292232.0,5062.0,2022,2022,9373262.0,3202847.470338,5803730.0,0.21079491156585495,-4587847.0,-0.22598571700965214,5.7188487657921545,13.396262452269047,5.443152148923988,2.832852464681658,1.5916518710348648,0.6141457071544517,0.38585429284554834,-6.628136478219895,9373262.0,0.8357194596198488,1.1693026457129199,govt
COPLEY HOSPITAL  INC. (471305),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,2021-10-01 00:00:00,,690352.0,1438991.0,,2022-09-30,,VT,2358579.0,,2.0,28707664.0,2771.0,,1064016.0,,266100.0,19523549.0,9339995.0,40625689.0,10881553.0,25.0,134775597.0,16667414.0,,25.0,9125.0,183648.0,2917574.0,91379923.0,10542038.0,35781573.0,2620459.0,74732663.0,399.96,0.554497,28894913.0,1480.0,,,13880020.0,,76557040.0,5586.0,2021,2022,47662127.0,10825749.349853,16667414.0,0.007554744820697649,-3955476.0,-0.04328605091952201,2.577919412219867,3.3188302322330947,2.219199612104305,1.2008206040048934,0.6062447234048115,0.3774298614470988,0.6225701385529012,-5.651583464018121,47662127.0,1.1936188102361325,3.183119427620443,non-profit
COPLEY MEMORIAL HOSPITAL (140029),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2022-07-01 00:00:00,,57008919.0,26745485.0,38521923.0,2023-06-30,34485404.0,IL,,149588273.0,1.0,131609480.0,13354.0,,10503542.0,,5463545.0,374098000.0,31395293.0,152325386.0,23799107.0,192.0,1755023456.0,26207151.0,,157.0,70080.0,3678556.0,7676101.0,347971513.0,23605061.0,457664887.0,7354361.0,320796015.0,1512.59,0.182787,389348513.0,10740.0,12.44,,235399797.0,35.0,1041905826.0,50613.0,2022,2022,652557313.0,68380251.126,26207151.0,0.1638321439261035,-23819131.0,-0.06845138211069594,1.944202555960573,0.9125987054270909,,0.11133038912518689,0.5966502945312943,0.37368877616776086,0.6263112238322391,-4.388414910633411,652557313.0,0.3339759739475725,2.643969970856203,non-profit
COPPER QUEEN COMM. HOSP. (031312),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,2022-07-01 00:00:00,,10272135.0,5567790.0,,2023-06-30,,AZ,1060078.0,,2.0,35481636.0,441.0,654494.0,2291856.0,,924517.0,81137416.0,21707140.0,26375739.0,996327.0,14.0,215470174.0,44936121.0,,14.0,5110.0,270733.0,1755092.0,63506887.0,1365613.0,59810694.0,1916501.0,52620570.0,196.31,0.244213,12951812.0,259.0,,,5420166.0,,92763573.0,1765.0,2022,2022,79811761.0,19814811.773608003,45590615.0,0.1617483628192955,4205672.0,0.06622387269588573,11.034845427243372,16.757441561752906,10.48567792942135,8.290543315463031,0.1622794916152771,0.13962174570399524,0.8603782542960048,22.0171312695534,79811761.0,0.6846101863713249,1.789852277386533,non-profit
COPPER SPRINGS (034032),Psychiatric,Proprietary-Corporation,2022-01-01 00:00:00,,-3164966.0,,,2022-12-31,,AZ,207639.0,,1.0,11349187.0,1814.0,,,,,,,23245874.0,61977.0,144.0,141530340.0,,,144.0,52560.0,,836658.0,44096803.0,61177.0,7219059.0,,54352147.0,311.16,,118208867.0,7471.0,,,9584077.0,,115205830.0,49578.0,2022,2022,-3003037.0,,0.0,-0.07177313965368419,-7011252.0,-0.15899683249146201,0.7532346620337045,0.8539394038674772,,0.0,-39.36310708126473,1.026066710339225,-0.02606671033922502,,-3003037.0,0.38276537741188965,3.8854591963283363,for-profit
COQUILLE VALLEY HOSPITAL (381312),General Short Term (Critical Access Hospitals),Governmental-Hospital District,2022-07-01 00:00:00,,-1317289.0,453461.0,,2023-06-30,,OR,509882.0,,2.0,6982060.0,927.0,,158712.0,,,10132286.0,4887484.0,14924997.0,7389352.0,17.0,41393156.0,15813979.0,,17.0,6205.0,879175.0,1637640.0,32092731.0,6983604.0,21925862.0,834069.0,32141348.0,145.14,0.776489,18482466.0,297.0,,,3275661.0,,39328911.0,1605.0,2022,2022,20846445.0,7867608.623854,15813979.0,-0.041046335383548384,-7030525.0,-0.21906907829065717,6.693568717886253,6.640019525830054,6.283284808776,4.827721488884229,0.8866003771866139,0.4699460404586336,0.5300539595413664,-6.134029061335911,20846445.0,0.8160086354793805,4.596455917021624,govt
CORAL GABLES HOSPITAL (100183),General Short Term (Acute Care Hospitals),Proprietary-Corporation,2022-05-01 00:00:00,,4115095.0,10767019.0,9688332.0,2023-04-30,8569716.0,FL,728023.0,37437241.0,1.0,61709765.0,3838.0,,7929437.0,,6675702.0,101179052.0,3193034.0,34239765.0,2328605.0,245.0,1134753235.0,-154478.0,,229.0,89425.0,3825336.0,2700702.0,114510354.0,2286021.0,43096977.0,3204230.0,117185099.0,441.22,0.103269,146349025.0,4233.0,,,51504681.0,16.0,152198677.0,17783.0,2022,2022,5849652.0,10448659.520988,0.0,0.035936444664209144,445382.0,0.003889447411890806,0.8367584491980448,1.2780364565310094,0.7604109614813458,0.0,25.018415625408142,0.9615656843061783,0.0384343156938217,0.8224333757871204,5849652.0,0.7523741747111244,1.8556277762522673,for-profit
CORAL SHORES BEHAVIORAL HEALTH (104080),Psychiatric,Proprietary-Corporation,2022-06-01 00:00:00,,-786836.0,,,2023-05-31,,FL,26882.0,,1.0,7759399.0,1384.0,,,,,,,8286958.0,73178.0,80.0,39063000.0,-210878.0,,80.0,29200.0,,1026398.0,15586272.0,71742.0,2462515.0,11083.0,12858658.0,133.81,,45819227.0,3223.0,,,1141524.0,,20825757.0,17275.0,2022,2022,-24993470.0,,0.0,-0.0504826298424665,-799749.0,-0.05131111531994309,2.1572170186522577,6.108117744348783,2.1239588479961875,0.0,-1.8332479243578423,2.200123001531229,-1.2001230015312288,,-24993470.0,0.7484132269477647,2.0086957765672317,for-profit
CORDELL MEMORIAL HOSPITAL (371325),General Short Term (Critical Access Hospitals),Governmental-City-County,2022-07-01 00:00:00,,176179.0,309592.0,,2023-06-30,,OK,37681.0,,2.0,3178691.0,474.0,55562.0,146187.0,,,2158990.0,748980.0,2278133.0,566600.0,14.0,12915844.0,2113520.0,,14.0,5110.0,3746.0,521018.0,5893481.0,764267.0,3709865.0,138967.0,6678640.0,32.43,0.517089,465722.0,139.0,,,465722.0,,7780859.0,731.0,2022,2022,7315137.0,1116389.9801100001,2169082.0,0.02989387765906092,-1157744.0,-0.1964448515232339,7.965835841982986,11.741747222592018,7.5865366033814166,4.538157956892738,0.06366551986654521,0.05985483093833213,0.9401451690616679,-169.9749065670048,7315137.0,0.7574332088526472,1.8540591079787245,govt
CORDOVA COMMUNITY MEDICAL CENTER (021307),General Short Term (Critical Access Hospitals),Governmental-City,2022-01-01 00:00:00,,1063581.0,393709.0,,2022-12-31,,AK,195664.0,,2.0,2036275.0,434.0,,502302.0,,171031.0,6372570.0,3737470.0,5897892.0,912666.0,13.0,13964704.0,1566782.0,,13.0,4745.0,,688610.0,12253339.0,919496.0,4284528.0,480713.0,11750056.0,56.43,0.841411,11605292.0,51.0,,,6364250.0,,9737110.0,837.0,2022,2022,-1868182.0,5361950.49627,1566782.0,0.08679927977182382,-670532.0,-0.054722390362333076,0.6732180539733669,0.7332581215382802,0.5669404878815257,0.24618486074557097,-6.2120778382405994,1.1918620617411122,-0.1918620617411121,,-1868182.0,1.2584164089755585,6.017526611091331,govt
CORNERSTONE BEHAVIORAL HEALTH HOSPIT (314027),Psychiatric,Governmental-County,2022-01-01 00:00:00,,,,,2022-12-31,,NJ,,6283384.0,1.0,,724.0,,,,,,,6283384.0,,44.0,13913886.0,,,44.0,16060.0,,,18218183.0,,,,17055094.0,83.47,,,165.0,,,,,,12150.0,2022,2022,,,0.0,,-691225.0,-0.03794148955469379,,,,,,,,,,,inf,govt
CORNERSTONE BH EL DORADO (034033),Psychiatric,Proprietary-Corporation,2022-09-01 00:00:00,,4317681.0,,,2023-08-31,,AZ,118205.0,6241176.0,1.0,3122613.0,729.0,,23149.0,,,,,6347319.0,,106.0,32023500.0,9138272.0,,106.0,26106.0,,345989.0,17247413.0,,11900342.0,30210.0,12610408.0,40.1,,40829042.0,2899.0,,,3440218.0,,47806153.0,18181.0,2022,2022,6977111.0,,9138272.0,0.25033789125360423,2261413.0,0.13111606940704673,3.459182528549063,4.8190451884153855,3.4160413671459193,2.6563060829284657,5.8518550156361275,0.8540541214433213,0.14594587855667868,,6977111.0,0.360778099003281,5.523391147093796,for-profit
CORNERSTONE HOSPITAL OF AUSTIN (452034),General Long Term,Proprietary-Corporation,2022-09-01 00:00:00,,6866379.0,,,2023-08-31,,TX,7502.0,,1.0,32300581.0,8585.0,,,,,,,20209723.0,484316.0,145.0,289243697.0,6194.0,,127.0,52925.0,,726146.0,54547604.0,474631.0,7781072.0,343753.0,43055081.0,226.8,,7205422.0,870.0,,,4674083.0,18.0,10449993.0,25253.0,2022,2022,3244571.0,,6194.0,0.12587865454182,6408075.0,0.11747674563304375,1.664726963556274,8.380928194899406,1.5895774636436708,0.0013251797197439583,2.2207626216223963,0.6895145288614069,0.3104854711385931,,3244571.0,5.219869908046828,1.6887499330120408,for-profit
CORNERSTONE HOSPITAL OF BOSSIER CITY (192006),General Long Term,Proprietary-Corporation,2022-09-01 00:00:00,,138772.0,,,2023-08-31,,LA,40793.0,,1.0,3918385.0,6576.0,,,,,,,6706340.0,,43.0,83423670.0,-24.0,,35.0,15695.0,,236331.0,15724109.0,,1821224.0,240049.0,13131251.0,97.3,,4470801.0,379.0,,,2128109.0,8.0,3396066.0,8983.0,2022,2022,-1074735.0,,0.0,0.008825428518716068,-482993.0,-0.0307167166037834,0.8557945105255417,1.9064610882243345,0.7238266460975448,0.0,-4.159910117377772,1.3164646976825538,-0.31646469768255386,,-1074735.0,4.630095233720429,4.0129055720660425,for-profit
CORNERSTONE HOSPITAL OF HUNTINGTON (512003),General Long Term,Proprietary-Corporation,2021-11-01 00:00:00,,2115121.0,,,2022-10-31,,WV,4809.0,,1.0,3650385.0,4623.0,,,,,,,6275750.0,3075.0,32.0,109808581.0,1010.0,,32.0,11680.0,,135593.0,17109826.0,2954.0,3426113.0,103811.0,16600280.0,67.95,,-51582855.0,330.0,,,-51439508.0,,3985027.0,10492.0,2021,2022,3985027.0,,1010.0,0.1236202518950222,1390232.0,0.0812534271242735,inf,inf,inf,inf,0.0,0.0,1.0,,3985027.0,4.293528249620391,4.687129165827714,for-profit
